type	title	summary	Instelling	Datum	Bodytekst	latitude	longitude	Afbeelding	Wikipedia link	order
Artikel	Jacob van Meurs	Jacob van Meurs was een succesvol uitgever van reisboeken uit Amsterdam. Hierbij een aantal van zijn bestsellers.	Universiteit Maastricht	1620-1680		52.369579	4.888263		https://nl.wikipedia.org/wiki/Jacob_van_Meurs	1
Artikel	Arnoldus Montanus	Nederlands theoloog en predikant. Hij verliet Nederland nooit, maar publiceerde wel een aantal standaardwerken over Azië en Amerika.	Universiteit Maastricht	1625-1683		51.945408	4.851939		https://nl.wikipedia.org/wiki/Arnoldus_Montanus	2
Artikel	Olfert Dapper	Amsterdams schrijver, die boeken publiceerde over bijna heel de toen bekende wereld. Desondanks heeft hij Nederland nooit verlaten.	Universiteit Maastricht	1636-1689		52.362972	4.927405		https://nl.wikipedia.org/wiki/Olfert_Dapper	3
Artikel	Athanasius Kircher	Een Duitse jezuïet en een geleerde uit de Renaissance, die rond de 40 boeken heeft geschreven, waarvan de bekendste over de oriënt, geologie en geneeskunde gaan.	Universiteit Maastricht	1602-1680		30.032892	31.213140	https://commons.wikimedia.org/wiki/File:Athanasius_Kircher_Portrait.jpg	https://nl.wikipedia.org/wiki/Athanasius_Kircher	4
Artikel	Joan Nieuhof		Universiteit Maastricht	1618-1672		39.916242	116.405699	https://commons.wikimedia.org/wiki/File:Nieuhof_Joan.jpg	https://nl.wikipedia.org/wiki/Joan_Nieuhof	5
Artikel	De Nieuwe en Onbekende Weereld		Universiteit Maastricht	1671		40.688897	-74.017771	https://commons.wikimedia.org/wiki/File:Arnoldus_montanus_Buchtitel.jpg	https://nl.wikipedia.org/wiki/De_Nieuwe_en_Onbekende_Weereld	6
Beeld	Illustraties uit De Nieuwe en Onbekende Weereld		Universiteit Maastricht	1671		39.733376	-93.547526	https://commons.wikimedia.org/wiki/File:Arnoldus_montanus_America.jpg	https://commons.wikimedia.org/wiki/Category:De_Nieuwe_en_Onbekende_Weereld?uselang=nl	7
Beeld	China Illustrata	Boek van Athanasius Kircher over China	Universiteit Maastricht	1667		35.093294	112.618687	https://commons.wikimedia.org/wiki/File:China_Monumentis,_qua_sacris_qua_profanis_by_Athanasius_Kircher.jpg		8
Artikel	Het Gezantschap Der Neerlandtsche Oost-Indische Compagnie		Universiteit Maastricht	1665		40.061583	117.189000	https://commons.wikimedia.org/wiki/File:JoanNieuhof.jpg	https://nl.wikipedia.org/wiki/Het_Gezantschap_Der_Neerlandtsche_Oost-Indische_Compagnie	9
Beeld	Illustraties uit 'het Gezantschap'  		Universiteit Maastricht	1665		40.346869	116.606724	https://commons.wikimedia.org/wiki/File:Johan_Nieuhof_-_Gezandtschap_-_Titelplaat.jpg	https://commons.wikimedia.org/wiki/Category:Het_Gezandtschap_der_Ne%C3%AArlandtsche_Oost-Indische_Compagnie	10
Beeld	Gedenkwaerdige Gesantschappen	Boek van Arnoldus Montanus over Japan	Universiteit Maastricht	1669		35.025278	135.762222	https://commons.wikimedia.org/wiki/File:Montanus_-_Gedenkwaerdige_Gesantschappen_-_title_plate.jpg		11
Beeld	Gedenkweerdige Brasiliaense zee- en lantreize	Boek van Joan Nieuhof over Brazilië	Radboud Universiteit Nijmegen	1682		-11.319707	-44.391753	https://commons.wikimedia.org/wiki/File:Nieuhof_-_1682_-_Gedenkwaerdige_zee_en_lantreize_-_UB_Radboud_Uni_Nijmegen_-_209698519_258.jpeg	https://commons.wikimedia.org/wiki/Category:Gedenkweerdige_Brasiliaense_zee-_en_lantreize	12
Beeld	Gedenkwaerdig bedryf der Nederlandsche Oost-Indische maetschappye	Boek van Olfert Dapper over China	Universiteit Maastricht, Radboud Universiteit Nijmegen	1670		36.492202	117.766126	https://commons.wikimedia.org/wiki/Category:Gedenkwaerdig_bedryf_der_Nederlandsche_Oost-Indische_maetschappye#/media/File:Dapper_-_1670_-_Gedenkwaerdig_bedryf_-_UB_Radboud_Uni_Nijmegen_-_180148540_011_(cropped).jpg	https://commons.wikimedia.org/wiki/Category:Gedenkwaerdig_bedryf_der_Nederlandsche_Oost-Indische_maetschappye	13
Artikel	Description of Africa			1668		6.333333	5.622222	https://commons.wikimedia.org/wiki/File:Ancient_Benin_city.JPG	https://en.wikipedia.org/wiki/Description_of_Africa_(1668_book)	14