order original	order	type	title	summary	summary original	Instelling	Datum	Bodytekst	latitude	longitude	zoomTo	Afbeelding	Wikipedia link	Opm SF	opm SN	
	1	Beeld	De Siboga	Bijna een jaar lang voer het schip Hr. Ms. Siboga de expeditieleden rond de eilanden van de Indonesische archipel. Na de expeditie werd het schip nog tot 1930 als mijnenlegger gebruikt door de Nederlandse Marine.	Bijna een jaar lang voer het schip Hr. Ms. Siboga de expeditieleden rond de eilanden van de Indonesische archipel. Na de expeditie werd het schip nog tot 1930 als mijnenlegger gebruikt door de Nederlandse Marine.	Universiteit van Amsterdam	1-1-1898		-7.195541	112.736253	10	https://commons.wikimedia.org/wiki/File:Siboga,_gunboat_(1898).jpg		coordinaten - Surabaya, startpunt		
	2	Beeld	Crew en wetenschappers	Vier leden van de wetenschappelijke staf van de expeditie: v.l.n.r. H.F. Nierstrasz, J.W. Huysmans, Prof. Max Weber en Dr. J. Versluys	Vier leden van de wetenschappelijke staf van de expeditie: v.l.n.r. H.F. Nierstrasz, J.W. Huysmans, Prof. Max Weber en Dr. J. Versluys	Universiteit van Amsterdam	1-1-1899		-7.194519	112.736253	10 	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.002_-_Siboga_-_laboratorium_aan_boord_van_de_Siboga.jpg				
	3	Beeld	De bemanning van de Siboga	Groepsfoto, gemaakt op het dek van de Siboga. In het midden Anna Weber-van Bosse, aan haar rechterkant Max Weber en vlak voor haar Baboe, de persoonlijke bediende van Anna. Linksonder met een pijp de tekenaar van de expeditie, J.W. Huysmans.	Groepsfoto, gemaakt op het dek van de Siboga. In het midden Anna Weber-van Bosse, aan haar rechterkant Max Weber en vlak voor haar Baboe, de persoonlijke bediende van Anna. Linksonder met een pijp de tekenaar van de expeditie, J.W. Huysmans.	Universiteit van Amsterdam	1-1-1899		-7.194519	112.736253	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.425_-_Siboga_-_de_bemanning_en_de_wetenschappelijke_staf_van_de_Siboga.jpg				
	4	kaart	De geplande en de uiteindelijke route van de expeditie	De Siboga-expeditie volgde een iets andere route dan oorspronkelijk gepland. Een Wiki-vrijwilliger heeft beide routes op een kaart geplaatst.	De Siboga-expeditie volgde een iets andere route dan oorspronkelijk gepland. Een Wiki-vrijwilliger heeft beide routes op een kaart geplaatst.	Universiteit van Amsterdam	1-1-1899		-4.045529	122.905430	6 	https://commons.wikimedia.org/wiki/File:Karte_Siboga-Expedition.jpg				
	5	Artikel	De Siboga-expeditie	De Siboga-expeditie (1899-1900) was een invloedrijke expeditie naar Nederlands-Indie, het huidige Indonesië. Tot in 1986 is er over de resultaten gepubliceerd.	De Siboga-expeditie (1899-1900) was een invloedrijke expeditie naar Nederlands-Indie, het huidige Indonesië. Tot in 1986 is er over de resultaten gepubliceerd.	Universiteit van Amsterdam	1-1-1899		-4.045529	122.905430	6 	https://commons.wikimedia.org/wiki/File:Karte_Siboga-Expedition.jpg	https://nl.wikipedia.org/wiki/Siboga-expeditie	coordinaten = soort centrumpunt van de route van de expeditie		
1	6	Artikel	Diepzee-onderzoek met de kor	Tijdens de expeditie werd regelmatig een kor (diepzeenet) neergelaten, tot op een diepte van honderden meters.	Tijdens de expeditie werd regelmatig een kor (diepzeenet) neergelaten, tot op een diepte van honderden meters. De kor was voorzien van een paar dikke zwabbers, die over de grond slepende, fijne dieren in hun lange vezels konden vasthouden.	Universiteit van Amsterdam	1-1-1899		-7.194519	112.736253	10 	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.003_-_Siboga_-_uitzetten_van_de_dreg.jpg	https://nl.wikipedia.org/wiki/Boomkorvisserij			
2	7	Beeld	Bima, Sumbawa	Gezicht op het binnenplein van de benting, gelegen op het eiland Sumbawa. Een deel van de dertien man tellende bezetting staat aangetreden. In het midden de commandant van het fort en de posthouder van Bima, de heer Brugman. Aan de rechterkant staan twee leden van de expeditie in tropenkleding, waaronder de heer J.W. Huysmans.	Gezicht op het binnenplein van de benting, gelegen op het eiland Sumbawa. Een deel van de dertien man tellende bezetting staat aangetreden. In het midden de commandant van het fort en de posthouder van Bima, de heer Brugman. Aan de rechterkant staan twee leden van de expeditie in tropenkleding, waaronder de heer J.W. Huysmans.	Universiteit van Amsterdam	5-4-1899		-8.464931	118.716587	10	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.025_-_Siboga_-_benting_van_Bima.jpg				
3	8	Beeld	Paleis van de sultan van Bima	Het paleis van de sultan van Bima; in 2015 is dit een museum (Asi Mboja).	Het paleis van de sultan van Bima; in 2015 is dit een museum (Asi Mboja).	Universiteit van Amsterdam	5-4-1899		-8.459989	118.726935	10	https://commons.wikimedia.org/wiki/File:UvA-Artis_300.027_-_Siboga_-_paleis_van_de_Sultan_van_Bima.jpg	https://id.wikipedia.org/wiki/Asi_mbojo			
4	9	Beeld	Barang, eilandje voor Makassar	Max Weber en Anna Weber-van Bosse omringd door inlanders bij een sampan op het strand van Poeloe Barang. De sampan is van de man met de witte baard, de oudste visser en duiker van de kampong.	Max Weber en Anna Weber-van Bosse omringd door inlanders bij een sampan op het strand van Poeloe Barang. De sampan is van de man met de witte baard, de oudste visser en duiker van de kampong.	Universiteit van Amsterdam	31-5-1899		-5.112471	119.368650	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.054_-_Siboga_-_Poeloe_Barang,_eilandje_voor_de_kust_bij_Makassar_(Pulau_Barang).jpg				
5	10	Artikel	De rede van Makassar	De haven van Makassar op Zuid-Celebes.	De haven van Makassar op Zuid-Celebes.	Universiteit van Amsterdam	31-5-1899		-5.113085	119.408742	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.050_-_Siboga_-_rede_van_Makassar.jpg	https://nl.wikipedia.org/wiki/Makassar			
6	11	Artikel	Bezoek aan het Siau-eiland	Passer in de kampong Sawan op het eiland Siau. Handeldrijvende inheemse bevolking, op de achtergrond ligt de Siboga voor anker.	Passer in de kampong Sawan op het eiland Siau. Handeldrijvende inheemse bevolking, op de achtergrond ligt de Siboga voor anker.	Universiteit van Amsterdam	3-7-1899		2.729156	125.407868	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.077_-_Siboga_-_passer_in_de_kampong_Sawan_op_het_eiland_Siaoe_(Siau).jpg	https://nl.wikipedia.org/wiki/Siau			
7	12	Artikel	Schooljeugd op Sangir	De schooljeugd, geschaard om een vlaggenstok, gekleed in heldere witte uniformen en zwaaiend met vlaggetjes zingt de bemanning van de Siboga een welkom toe.	De schooljeugd, geschaard om een vlaggenstok, gekleed in heldere witte uniformen en zwaaiend met vlaggetjes zingt de bemanning van de Siboga een welkom toe. Volgens het reisverslag van Anna Weber het Wilhelmus en het lied Piet Hein in het Maleis.	Universiteit van Amsterdam	6-7-1899		3.605499	125.505765	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.217_-_Siboga_-_de_schooljeugd_van_de_kampong_Taroena_op_het_eiland_Sangir_zingt_ons_een_welkom_toe_(kampong_Taruna)_(cropped).jpg	https://en.wikipedia.org/wiki/Sangir_Island			
8	13	Beeld	Moskee op Ternate	Moskee van de sultan op het eiland Ternate.	Moskee van de sultan op het eiland Ternate.	Universiteit van Amsterdam	1-8-1899		0.798401	127.385348	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.088_-_Siboga_-_moskee_te_Ternate.jpg	https://id.wikipedia.org/wiki/Masjid_Sultan_Ternate			
9	14	Artikel	Waigeo-eiland, West-Papua	Drie trimarans met Papoea's langszij de Siboga.	Drie trimarans met Papoea's langszij de Siboga.	Universiteit van Amsterdam	10-8-1899		-0.123488	130.291379	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.090_-_Siboga_-_in_de_Woenoh_Baai_op_het_eiland_Waigeo_(Wunoh_Baai).jpg	https://nl.wikipedia.org/wiki/Waigeo			
10	15	Beeld	De 'valse Pisang' rotsen bij Pulau Daram	Gezicht op een steil uit zee oprijzende rotsformatie bij één van de eilanden, linksonder staande bij een vlet een lid van de expeditie.	Gezicht op een steil uit zee oprijzende rotsformatie bij één van de eilanden, linksonder staande bij een vlet een lid van de expeditie.	Universiteit van Amsterdam	17-8-1899		-2.146045	130.908707	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.244_-_Siboga_-_Valse_Pisangs.jpg				
11	16	Artikel	Fort Nieuw Victoria	Toegangspoort tot het fort Nieuw Victoria.	Toegangspoort tot het fort Nieuw Victoria.	Universiteit van Amsterdam	2-9-1899		-3.691866	128.171552	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.127_-_Siboga_-_fort_te_Ambon.jpg	https://nl.wikipedia.org/wiki/Fort_Victoria_(Ambon)			
12	17	Artikel	Voorvechters te Sanana	Vier mannen met lange smalle schilden in de linker- en lansen in de rechterhand. Op de achtergrond de muur van een oud Portugees fort, gelegen even buiten de kampong Sanana op het eiland Sulabesi.	Vier mannen met lange smalle schilden in de linker- en lansen in de rechterhand. Op de achtergrond de muur van een oud Portugees fort, gelegen even buiten de kampong Sanana op het eiland Sulabesi.	Universiteit van Amsterdam	15-9-1899		-2.054462	125.975403	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.112_-_Siboga_-_voorvechters_te_Sanana.jpg	https://nl.wikipedia.org/wiki/Sanana			
13	18	Artikel	Drooggevallen rivierbedding op het eiland Buru	Max Weber en G.F. Tydeman verzamelen materiaal in het drooggevallen rivierbed.	Max Weber en G.F. Tydeman verzamelen materiaal in het drooggevallen rivierbed.	Universiteit van Amsterdam	18-9-1899		-3.144745	126.224369	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.261_-_Siboga_-_de_drooggevallen_rivierbedding_van_de_Sifoe_(Sifu)_op_het_eiland_Buru.jpg	https://en.wikipedia.org/wiki/Buru			
14	19	Artikel	Piet, de kasuaris	De "scheepsvogel" Piet, een tamme kasuaris, op het erf van de pasanggrahan op Saleyer	De "scheepsvogel" Piet, een tamme kasuaris, op het erf van de pasanggrahan op Saleyer	Universiteit van Amsterdam	1-10-1899		-5.766696	120.486844	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.273_-_Siboga_-_de_%22scheepsvogel%22_Piet,_een_kasuaris,_op_het_erf_van_de_pasanggrahan_op_Saleyer.jpg	https://nl.wikipedia.org/wiki/Casuarius			
15	20	Artikel	Kruisboot bij Banda	Kruisprauwen waren transport- en patrouilleboten van de zeemacht in Nederlands-Indië.	Kruisprauwen waren transport- en patrouilleboten van de zeemacht in Nederlands-Indië.	Universiteit van Amsterdam	1-12-1899		-4.544365	129.895938	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.136_-_Siboga_-_prauw_(kruisprauw)_in_de_wateren_rondom_Banda_(cropped).jpg	https://nl.wikipedia.org/wiki/Kruisboot			
16	21	Artikel	Notenpakhuis op Banda	De teelt van nootmuskaat is belangrijk voor de regio. Pakhuis, waarin de nootmuskaatnoten worden verwerkt en verpakt in balen. Op de achtergrond in de hoek waarschijnlijk de perkenier.	De teelt van nootmuskaat is belangrijk voor de regio. Pakhuis, waarin de nootmuskaatnoten worden verwerkt en verpakt in balen. Op de achtergrond in de hoek waarschijnlijk de perkenier.	Universiteit van Amsterdam	1-12-1899		-4.544365	129.895938	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.287_-_Siboga_-_notenpakhuis_op_Banda.jpg	https://nl.wikipedia.org/wiki/Nootmuskaat			
17	22	Artikel	De vulkaan Banda Api	Deze vulkaan op Banda was versierd naar aanleiding van de inhuldiging van Koningin Wilhelmina in 1898.	Deze vulkaan op Banda was versierd naar aanleiding van de inhuldiging van Koningin Wilhelmina in 1898.	Universiteit van Amsterdam	2-12-1899		-4.522586	129.879487	8 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.141_-_Siboga_-_illuminatie_te_Banda_ter_ere_van_het_kroningsfeest_(inhuldigingsfeest)_van_Hare_Majesteit_de_Koningin.jpg	https://nl.wikipedia.org/wiki/Wilhelmina_der_Nederlanden#Begin_van_koningschap			
18	23	Artikel	Arunezen op de Siboga	Inwoners van de Oostkust van de Aru-eilanden.	Inwoners van de Oostkust van de Aru-eilanden.	Universiteit van Amsterdam	15-12-1899		-5.430269	134.661478	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.146_-_Siboga_-_Arunezen_op_het_dek_van_de_Siboga.jpg	https://en.wikipedia.org/wiki/Aru_Islands			
19	24	Artikel	Jerusu op Romang	Drie leden van de expeditie lopen door de kampong.	Drie leden van de expeditie lopen door de kampong.	Universiteit van Amsterdam	10-1-1900		-7.600549	127.417469	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.420_-_Siboga_-_kampong_Djoeroesoe_op_het_eiland_Roma_(kampong_Jerusu).jpg	https://en.wikipedia.org/wiki/Romang			
20	25	Artikel	Bewoners van Oost-Timor	Een Wikipediavrijwilliger heeft de precieze plek van de foto achterhaald: het dorp Tutuala. De geportretteerden behoren tot de etnische groep van de Fataluku.	Bewoners op een strand op Oost-Timor. Een Wikipediavrijwilliger heeft de precieze plek van de foto achterhaald: het dorp Tutuala. De geportretteerden behoren tot de etnische groep van de Fataluku.	Universiteit van Amsterdam	12-1-1900		-8.389056	127.258034	10 	https://commons.wikimedia.org/wiki/File:UvA-BC_300.413_-_Siboga_-_inheemse_bewoners_van_Timor_op_een_rif_aan_de_oostkant_van_het_eiland.jpg	https://en.wikipedia.org/wiki/Tutuala			
21	26	Artikel	Twee inwoners van Roti	Twee inwoners van het eiland Roti (Rote) op het dek van de Siboga. Ze dragen de kenmerkende hoeden van deze regio.	Twee inwoners van het eiland Roti (Rote) op het dek van de Siboga. Ze dragen de kenmerkende hoeden van deze regio.	Universiteit van Amsterdam	25-1-1900		-10.799256	123.229945	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.314_-_Siboga_-_twee_inheemse_bewoners_van_het_eiland_Rotti_(Roti)_aan_boord_van_de_Siboga.jpg	https://en.wikipedia.org/wiki/Rote_Island			
	27	Artikel	ikatdoek met mensmotieven	De tijdens de expeditie verzamelde etnografische voorwerpen zijn opgenomen in de collectie van het Koninklijk Instituut voor de Tropen te Amsterdam.	De tijdens de expeditie verzamelde etnografische voorwerpen zijn opgenomen in de collectie van het Koninklijk Instituut voor de Tropen te Amsterdam.	Universiteit van Amsterdam	31-12-1900		52.362765	4.920199	10	https://commons.wikimedia.org/wiki/File:UvA-BC_300.447_-_Siboga_-_etnografica_-_ikatdoek_met_mensmotieven.jpg	https://en.wikipedia.org/wiki/Ikat			
	28	kaart	De lijn van Weber	De lijn van Weber is een denkbeeldige lijn door Wallacea. De lijn van Weber scheidt duidelijker dan de lijn van Wallace de zoogdierfauna tussen enerzijds (westelijk) het Oriëntaals gebied en anderzijds (oostelijk) het Australaziatisch gebied. De lijn onderscheidt ook beter de fauna's van diverse terrestrische ongewervelden, vogels en vlinders.	De lijn van Weber is een denkbeeldige lijn door Wallacea. De lijn van Weber scheidt duidelijker dan de lijn van Wallace de zoogdierfauna tussen enerzijds (westelijk) het Oriëntaals gebied en anderzijds (oostelijk) het Australaziatisch gebied. De lijn onderscheidt ook beter de fauna's van diverse terrestrische ongewervelden, vogels en vlinders.	Universiteit van Amsterdam	1-1-1903				6 	https://commons.wikimedia.org/wiki/File:Map_of_Sunda_and_Sahul.png	https://nl.wikipedia.org/wiki/Lijn_van_Weber		kolom afbeelding moet naar een afbeelding op Commons wijzen, kolom Wikipedia link moet (vooralsnog) naar een Nederlandse Wikipedia artikel wijzen	
	29	Artikel	Mattheus Schepman 	Mattheus Marinus Schepman is die schreef over de Prosobranchia, of zeeslakken.	De enorm grote vangst aan zoölogisch, botanisch en geologisch materiaal die de Siboga Expeditie heeft opgeleverd is het werk van vier wetenschappers. Niet minder van 61 wetenschappers (54 zoölogen, 4 botanici, 2 geologen en 1 hydrograaf) uit 10 landen hebben vervolgens over een periode van vele tientallen jaren het verzamelde materiaal onderzocht en beschreven. Een van hen was Mattheus Marinus Schepman, die schreef over de Prosobranchia, of zeeslakken.	Universiteit van Amsterdam	1908		52.142214	4.488468	10 	https://commons.wikimedia.org/wiki/File:Mattheus_Marinus_Schepman.png	https://nl.wikipedia.org/wiki/Mattheus_Marinus_Schepman			PoI over Mattheus Schepman laten gaan 
	30	Beeld	Die Fische der Siboga-Expedition	Tot in 1986 zijn er door wetenschappelijke uitgever Brill (Leiden) officiële publicaties uitgebracht over de onderzoeksresultaten van de Siboga-expeditie. In 1913 publiceerde Max Weber zelf een volume over zijn eigen vakgebied: vissen.	Tot in 1986 zijn er door wetenschappelijke uitgever Brill (Leiden) officiële publicaties uitgebracht over de onderzoeksresultaten van de Siboga-expeditie. In 1913 publiceerde Max Weber zelf een volume over zijn eigen vakgebied: vissen.	Universiteit van Amsterdam	1913		52.142214	4.488468	10	https://commons.wikimedia.org/wiki/File:Weber_-_Fische_Siboga_-_pl_11.jpg				
	31	Artikel	Eerbeek	Max en Anna Weber hebben veel invloed gehad in Eerbeek. Hun landgoed trok met zijn laboratorium en collectie aan exotische dieren en planten vele biologen en botanici naar het dorp.	Max en Anna Weber hebben aan het einde van hun leven veel invloed gehad in Eerbeek. Hun landgoed, Het Huis te Eerbeek, trok met zijn laboratorium en collectie aan exotische dieren en planten vele biologen en botanici naar het dorp. Ook richtte Weber de Boerenleenbank op, en een imkersvereniging die de jaarlijkse bijenmarkt organiseerde en nog steeds organiseert. Ook stichtte hij het gemeenschapsgebouw Eerbeeks Belang. Nog altijd verwijzen het Weberbos, de Professor Weberlaan en de bistro Prof. Weber naar de bekende oud-inwoner van het dorp. Het landgoed werd na de dood van de Webers nagelaten aan Stichting Het Geldersch Landschap, en is momenteel in gebruik als hotel-restaurant. De tuin met zijn exotische bomen is grotendeels opengesteld voor het publiek. Het graf van Max en Anna Weber, op de algemene begraafplaats in Eerbeek, werd in 2007 gerestaureerd.	Universiteit van Amsterdam	1937				10	https://commons.wikimedia.org/wiki/File:Eerbeek1.jpg	https://nl.wikipedia.org/wiki/Huis_te_Eerbeek			
	32	Artikel	Max Wilhelm Carl Weber	De expeditieleider was de zoöloog Max Weber. Hij was van oorsprong Duitser maar bracht zijn wetenschappelijke loopbaan vooral in Nederland door.	De expeditieleider was de zoöloog Max Weber (niet te verwarren met zijn tijdgenoot, de socioloog Maximilian Karl Emil Weber). Hij was van oorsprong Duitser, geboren in Bonn, maar bracht zijn wetenschappelijke loopbaan vooral in Nederland door.	Universiteit van Amsterdam	1852-1937		50.738354	7.099919	10	https://commons.wikimedia.org/wiki/File:Portrait_of_Max_Wilhelm_Carl_Weber.jpg	https://nl.wikipedia.org/wiki/Max_Wilhelm_Carl_Weber	coordinaten van Bonn, geboortestad van Max Weber		
	33	Artikel	Anna Weber-van Bosse	Anna Weber was algologe en zou later binnen haar vakgebied publiceren over resultaten uit de expeditie. Ze was de eerste Nederlandse vrouw die een eredoctoraat ontving.	Anna Weber, de echtgenote van Max Weber, reisde mee. Ze was algologe en zou later binnen haar vakgebied publiceren over resultaten uit de expeditie. Ze was de eerste Nederlandse vrouw die een eredoctoraat ontving.	Universiteit van Amsterdam	1852-1942		52.369895	4.885911	10	https://commons.wikimedia.org/wiki/File:Anna_Weber-van_Bosse.jpg	https://nl.wikipedia.org/wiki/Anna_Weber-van_Bosse			
	34	Artikel	Een 'Koetei-class gunboat' 	De Siboga was één van drie gelijkaardige schroefstoomschepen van de Nederlandse Marine, de zogenaamde 'Koetei-class' kanonneerboten.	De Siboga was één van drie gelijkaardige schroefstoomschepen van de Nederlandse Marine, de zogenaamde 'Koetei-class' kanonneerboten. Behalve de Siboga werden ook de Koetei en de Assahan gebouwd. Het laatste schip is tot 1933 ingezet.	Universiteit van Amsterdam	1898-1933		52.398860	4.892345	10	https://commons.wikimedia.org/wiki/File:Siboga,_gunboat_(1898).jpg	https://en.wikipedia.org/wiki/Koetei-class_gunboat	Coordinaten zijn van de NDSM-werf in Amsterdam waar o.a. de Siboga gebouwd is.		